Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Men,15-54,Non-standardised,Stage 1,1-year,2013-2017,England,68,100.0,100.0,100.0
Anus,Men,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,66,100.0,100.0,100.0
Anus,Men,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,56,97.9,93.0,102.9
Anus,Men,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,58,98.3,92.5,104.1
Anus,Men,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,248,99.7,97.9,101.5
Anus,Men,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,248,98.9,96.7,101.2
Anus,Men,15-54,Non-standardised,Stage 2,1-year,2013-2017,England,115,95.9,92.2,99.7
Anus,Men,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,108,92.4,87.2,97.6
Anus,Men,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,134,89.8,84.2,95.4
Anus,Men,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,122,81.6,73.6,89.7
Anus,Men,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,479,89.8,86.8,92.9
Anus,Men,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,479,89.0,85.8,92.4
Anus,Men,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,44,86.5,76.4,96.5
Anus,Men,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,107,93.8,89.1,98.5
Anus,Men,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,142,88.8,83.4,94.1
Anus,Men,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,155,85.4,79.5,91.3
Anus,Men,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,109,64.2,54.4,74.1
Anus,Men,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,557,83.8,80.6,87.1
Anus,Men,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,557,80.3,76.2,84.6
Anus,Men,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,7,:,:,:
Anus,Men,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,26,73.3,56.6,90.0
Anus,Men,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,47,53.6,39.4,67.8
Anus,Men,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,52,:,:,:
Anus,Men,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,45,:,:,:
Anus,Men,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,177,44.9,37.4,52.4
Anus,Men,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,177,:,:,:
Anus,Men,15-54,Non-standardised,Unstageable,1-year,2013-2017,England,19,94.8,85.0,104.6
Anus,Men,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,24,88.2,75.1,101.2
Anus,Men,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,40,78.2,65.3,91.1
Anus,Men,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,43,47.1,31.3,62.9
Anus,Men,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,126,72.2,63.9,80.4
Anus,Men,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,126,72.0,64.2,80.8
Anus,Men,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,28,96.5,89.7,103.3
Anus,Men,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,59,93.4,86.9,99.9
Anus,Men,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,86,90.2,83.8,96.7
Anus,Men,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,92,75.2,66.2,84.3
Anus,Men,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,124,59.6,49.9,69.2
Anus,Men,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,389,77.8,73.3,82.3
Anus,Men,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,389,76.6,72.0,81.4
Anus,Men,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,145,92.5,88.2,96.8
Anus,Men,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,328,93.3,90.5,96.1
Anus,Men,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,473,88.0,85.0,91.0
